ranking,name,profile,position,age,nationality,flag,club,club_logo,market_value
1,Kylian Mbappé,https://img.a.transfermarkt.technology/portrait/small/342229-1602849394.jpg?lm=1,Centre-Forward,22,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,€160.00m
2,Harry Kane,https://img.a.transfermarkt.technology/portrait/small/132098-1599986552.jpg?lm=1,Centre-Forward,27,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,€120.00m
3,Erling Haaland,https://img.a.transfermarkt.technology/portrait/small/418560-1607454139.jpg?lm=1,Centre-Forward,20,Norway,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,€110.00m
4,Mohamed Salah,https://img.a.transfermarkt.technology/portrait/small/148455-1546611604.jpg?lm=1,Right Winger,28,Egypt,https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,€110.00m
5,Neymar,https://img.a.transfermarkt.technology/portrait/small/68290-1602849593.jpg?lm=1,Left Winger,29,Brazil,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,€110.00m
6,Jadon Sancho,https://img.a.transfermarkt.technology/portrait/small/401173-1567086818.jpg?lm=1,Right Winger,21,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,€100.00m
7,Trent Alexander-Arnold,https://img.a.transfermarkt.technology/portrait/small/314353-1559826986.jpg?lm=1,Right-Back,22,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,€100.00m
8,Sadio Mané,https://img.a.transfermarkt.technology/portrait/small/200512-1559901727.jpg?lm=1,Left Winger,29,Senegal,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,€100.00m
9,Raheem Sterling,https://img.a.transfermarkt.technology/portrait/small/134425-1577051521.jpg?lm=1,Left Winger,26,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€100.00m
10,Kevin De Bruyne,https://img.a.transfermarkt.technology/portrait/small/88755-1515761259.jpg?lm=1,Attacking Midfield,29,Belgium,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€100.00m
11,Bruno Fernandes,https://img.a.transfermarkt.technology/portrait/small/240306-1580389882.jpg?lm=1,Attacking Midfield,26,Portugal,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,€90.00m
